,id,name,artists,duration_ms,release_date,year,popularity,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key
67,5A4DlgM68SnFSKImnMeiUH,Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),"Turma do Pagode, Grupo Menos É Mais",216818,2021-01-28,2021,61,False,0.634,0.68,0.712,0.0,0.933,-6.781,0.0609,88.0,0.784,1,9
68,4PQdrXMDHDPl1RczrrlADd,MORENA,Luan Santana,193221,2021-06-17,2021,61,False,0.18,0.526,0.731,0.0,0.0891,-4.662,0.0887,86.959,0.476,1,11
69,72g37RoelSnovZakG5MwnF,Parada Louca,"Mari Fernandez, Marcynho Sensação",179031,2021-10-29,2021,60,False,0.302,0.693,0.936,0.0,0.339,-1.322,0.0524,166.034,0.835,1,7
70,4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,167303,2022-03-31,2022,27,False,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0,6
71,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift,200690,2022-10-21,2022,82,False,0.121,0.633,0.648,2.62e-06,0.161,-6.645,0.062,96.888,0.49,1,4
72,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,238805,2020-08-06,2020,31,False,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,0.531,1,11
73,1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,243716,2022-05-06,2022,79,True,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,0.187,0,5
74,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",212000,2021-07-23,2021,73,True,0.0203,0.736,0.704,0.0,0.0501,-7.409,0.0615,149.995,0.894,0,3
75,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",156943,2022-09-22,2022,78,False,0.0138,0.719,0.454,4.83e-06,0.318,-7.384,0.0707,131.007,0.224,1,2
76,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,225388,2022-07-29,2022,74,True,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,0.642,1,7
